layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id,size
spring,0.6930405106022116,0.3584778138078213,0.6958183296795994,0.7052767669527714,0.419346251532407,0.5992066003686249,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
davidson_harel,0.2571470546860931,0.1562471741467127,0.1624234547294911,0.2081898552714243,0.30928601928967,0.190383511638792,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
drl,0.2425428555974764,0.1285865945577727,0.1873407825052779,0.2156828335033466,0.101412840169721,0.2412892706833962,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
fruchterman_reingold,0.2118869084110264,0.2388171432175747,0.2567183166496073,0.2627299946854734,0.4341541935420573,0.2151708044053135,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
graphopt,0.4405601967301762,0.1772346748665647,0.1784955980527213,0.2751182660273445,0.2666824524120979,0.4698068570242172,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
lgl,-0.0235590484169351,0.007584213363248,-0.0241969475651497,-0.0241969475651497,-0.0209031123507046,-0.0227493558907412,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
mds,0.3682495647330427,0.2093228373905057,0.3157665949627967,0.342445678623175,0.3522184001868304,0.2736846832309568,0.6585201571927609,0.610288564138251,0.6781806309555016,3,25
kamada_kawai,0.2363626508527858,0.0394237682585324,0.2021319374159201,0.1710976977157074,0.1990435618271734,0.1211209024935466,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
spring,0.249243264835917,0.122585196149345,0.2186196744004301,0.2234038563297903,0.2126404705373174,0.2642217354322,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
davidson_harel,0.0794587539668114,0.0535785314944482,0.1370269538077152,0.1398939282794747,0.1429749155411647,0.0641635373557365,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
drl,0.0751772822697278,0.0465549418862223,0.0316316951453883,0.0378890858201122,0.0376096575276439,0.0408570856347888,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
fruchterman_reingold,0.1233377346071334,0.089082279106964,0.1476968559051185,0.1124836000172904,0.131974536097002,0.1061677635870275,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
graphopt,0.1761400967726507,0.0268701323842255,0.1471608531939592,0.1733098303386484,0.1292013404481568,0.1138605074043632,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
lgl,-0.0056149565274413,-0.0118134104977585,0.0012510577289317,0.0012510577289317,-0.0046796170802589,-0.0101434336336311,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
mds,0.0491696073827983,0.0154862364120523,0.0773928864533235,0.1062425026063995,0.0672732011991563,0.0573307707550106,0.3547689090752642,0.4852586229074857,0.3821115250118657,30,25
kamada_kawai,0.2303684071272804,0.0285638798698242,0.2177588512675373,0.1971020849683597,0.225976686696163,0.162719863753404,0.3481826847300762,0.4986816356248077,0.4248429817519447,32,25
spring,0.821538905418808,0.6598971253971281,0.845538905418808,0.8522084009374437,0.9039658302189002,0.90206993006993,0.9679658302189,1.0,0.6995890968971396,5,25
davidson_harel,0.2407468702682633,0.1082349871045194,0.4162420784474648,0.3906734883264898,0.2919122179442975,0.26957607144567,0.9679658302189,1.0,0.6995890968971396,5,25
drl,0.2721853752527433,0.1545260756625987,0.2891548281950292,0.297749371011431,0.3169416697064909,0.1773137419222339,0.9679658302189,1.0,0.6995890968971396,5,25
fruchterman_reingold,0.5433536089823456,0.4782797564820445,0.5188826177517081,0.5175521132703437,0.6190058065969911,0.5635497665784184,0.9679658302189,1.0,0.6995890968971396,5,25
graphopt,0.5404532329062115,0.5006315461345147,0.5824238970899641,0.6024238970899641,0.5515502591161271,0.609513360980836,0.9679658302189,1.0,0.6995890968971396,5,25
lgl,0.0721815703234581,0.2267293637972151,0.0666090995751404,0.0666090995751404,0.0284652599956488,0.0670729295873259,0.9679658302189,1.0,0.6995890968971396,5,25
