layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id,size
spring,0.545722877603785,0.5176912536546108,0.5562739520704924,0.5851650735543674,0.2483102274762672,0.4981854219690236,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
davidson_harel,0.1093557348455254,0.0306602254428341,0.0782226102045197,0.096085031325722,0.0721068151161619,0.0436372916907908,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
drl,0.1543287211816781,0.0412934120085588,0.1845054525627044,0.2017235344825203,0.18988558361404,0.0756723301172677,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
fruchterman_reingold,0.2475075135442113,0.2793057115011178,0.2464441279073506,0.2005332080081601,0.298956019464912,0.2623965616162833,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
graphopt,0.2551078919729804,0.0459210653116649,0.2842607055932021,0.2829959004251727,0.3982779897697245,0.205053647574532,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
lgl,0.1020925437799381,0.218556400516784,0.1099980846695167,0.09933141800285,0.1008661531762847,0.1020925437799381,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
mds,0.3547051812857192,0.1460545958778615,0.2738655697471141,0.2682332096777415,0.183314468044927,0.2320048252147329,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
kamada_kawai,0.2223546377404358,0.112324442014599,0.207094064127018,0.2246278636962415,0.2042856244711728,0.171199177726067,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
spring,0.3285931149246648,0.1634055725394401,0.2340679199047373,0.2345126446653479,0.2058982178243752,0.2471160911543741,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
davidson_harel,0.0503834765446875,0.0186640752241904,0.0532067601977924,0.0409869110167607,0.0876338798679247,0.0550291330624205,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
drl,0.0900987841486169,0.0234205631277031,0.0477608274289606,0.0422283073641619,0.0654655604227689,0.043109166520801,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
fruchterman_reingold,0.0654045083667297,0.0221778007934211,0.0533664619824769,0.0691504651090632,0.096576490816358,0.0735491078615284,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
graphopt,0.0923881055304914,0.0611399997674525,0.1029642611825732,0.109590760082486,0.0794982491793476,0.0956554850794688,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
lgl,0.0557965923162341,0.0816907950845215,0.0445814869014711,0.0445814869014711,0.0487847299595097,0.0579950057675083,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
mds,0.1082737775634121,0.0970823282459532,0.0737151419432751,0.0591959464337392,0.1068221770780673,0.0833926032882744,0.5016892318539264,0.5286359382897213,0.4010167954801806,30,25
kamada_kawai,0.2656783696738696,0.0808858196571526,0.2989798440153858,0.2453819001906891,0.1845490406263929,0.1613634374377298,0.4252181569465955,0.5093592494444938,0.3766326943363607,32,25
spring,0.8613333333333333,0.693024154589372,0.968,0.972,0.7386666666666667,0.8666666666666668,0.7946666666666666,1.0,0.6563795625091505,5,25
davidson_harel,0.278239224137931,0.1001790090570058,0.2399730326352843,0.2573063659686176,0.3497836707877919,0.2875353319057816,0.7946666666666666,1.0,0.6563795625091505,5,25
drl,0.3095518117869599,0.1906051934287228,0.3652896874814683,0.3652896874814683,0.3146666666666667,0.2708851451202932,0.7946666666666666,1.0,0.6563795625091505,5,25
fruchterman_reingold,0.5336962737005801,0.4507396899503202,0.5010274833842285,0.5495904334828101,0.4821631801656833,0.563542284999106,0.7946666666666666,1.0,0.6563795625091505,5,25
graphopt,0.4549798432920629,0.2902580222658808,0.4256465099587296,0.4136465099587296,0.5410856700601298,0.4594965134990166,0.7946666666666666,1.0,0.6563795625091505,5,25
lgl,0.0881653247450348,0.1140470879801734,0.1334028300197026,0.1334028300197026,0.0961653247450348,0.1166887937187723,0.7946666666666666,1.0,0.6563795625091505,5,25
mds,0.4726888570746839,0.4332334770114943,0.3523131766253962,0.3777175992348159,0.4673555237413505,0.4781477374351636,0.7946666666666666,1.0,0.6563795625091505,5,25
kamada_kawai,0.4019694204611577,0.5250575691582924,0.621733570033022,0.7116941434323171,0.725648460379061,0.528471119717478,0.6564030917836279,0.4801515793885104,0.7945442526881843,1,25
kamada_kawai,0.6773454379675818,0.3876651727838355,0.7295070902039129,0.6975070902039129,0.797500836307523,0.7203760005580058,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
spring,0.8250078249695564,0.8432212835022888,0.7700527447074805,0.7755933028771709,0.8064396549455767,0.7811580676581156,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
davidson_harel,0.3816571108972834,0.3577723152534129,0.3620307669900588,0.3561972438707069,0.3630683633419961,0.2846151533259077,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
drl,0.326553186581907,0.2560155035620702,0.3329435871793705,0.4055194637078889,0.4199261049028423,0.2903976047879338,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
fruchterman_reingold,0.4615653746756596,0.3710209763680777,0.5003556766757347,0.5218730134765688,0.4787440154590934,0.4822565927405401,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
graphopt,0.3959061270937951,0.2807986861015866,0.323266407444204,0.4529687418376814,0.3345851693599228,0.3902307986347315,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
lgl,0.185302888421114,0.0567933707525715,0.1319222050743289,0.1319222050743289,0.185302888421114,0.1797093976694835,0.8392373432732594,0.6248537876388521,0.7696362518264895,0,25
kamada_kawai,0.4270940991688907,0.2365656469914892,0.4455889435454573,0.5670452748860197,0.4720589993911241,0.4388430166212232,0.6117956687166883,0.5550263610082238,0.6113396603879272,3,25
spring,0.6878691864705436,0.430418044283574,0.6789464123524069,0.6558829897278848,0.7154732287542391,0.657793556103324,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
davidson_harel,0.2560160437075552,0.1417619317184197,0.3130133883644753,0.3240667209205068,0.2278760289719005,0.3128381596766275,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
drl,0.1168142649574192,-0.001756727664155,0.0993180843645012,0.0910545276903389,0.1323374284712307,0.0522912445651022,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
fruchterman_reingold,0.4252441306625972,0.122314058191015,0.4131891582500605,0.4622907861297308,0.3553231226951879,0.3163786692065383,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
graphopt,0.2759377888718815,0.1373279164243977,0.31330469969228,0.34130469969228,0.2963458254695785,0.3869655348615468,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
lgl,0.055447755833607,0.0220959302123654,0.0625843985789934,0.0625843985789934,0.0688690095846645,0.0664679833082632,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
mds,0.3384372735153946,0.3113118319363728,0.4043456855169184,0.3543343596031457,0.3696052985790848,0.4419294797760728,0.703067013590222,0.5640977052299354,0.6583960928104429,4,25
kamada_kawai,0.4488785809940168,0.2182226667742032,0.4879094898591177,0.3936800755361277,0.3636307120384349,0.4148284460357844,0.8242623601598874,0.8062208174214884,0.8432031506378319,9,25
spring,0.6889430437154358,0.6180350108933383,0.7333953288342258,0.6591265332609787,0.4961349304734158,0.674593443141308,0.8242623601598874,0.8062208174214884,0.8432031506378319,9,25
davidson_harel,0.4068835387179887,0.5132636778763466,0.4573846230411449,0.4563203066975116,0.3428722648660984,0.410370229804652,0.8242623601598874,0.8062208174214884,0.8432031506378319,9,25
