layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id
kamada_kawai,0.8609031886734033,0.056144509418539955,0.8229680373092485,0.8371866828211967,0.8027427101372095,0.94047138933527,1.0,1.0,0.7700982859865345,0
spring,0.9375710779912613,0.2673351859601025,0.9355805500472802,0.9355805500472802,0.9946662021826743,0.9719778348166095,1.0,1.0,0.7700982859865345,0
davidson_harel,0.334888173512931,0.019836420401589987,0.43103968214487925,0.36090311773390205,0.4124323220724985,0.3981428793629449,1.0,1.0,0.7700982859865345,0
drl,0.3432440524484898,0.01987090236805385,0.3515467990590443,0.35171832361745914,0.46048869458925157,0.36765642490837,1.0,1.0,0.7700982859865345,0
fruchterman_reingold,0.39854044196979144,0.04682059092952173,0.38282945796094525,0.38972045328902977,0.4032588893679292,0.39983560278046637,1.0,1.0,0.7700982859865345,0
graphopt,0.4161382362218352,0.031059763919091044,0.4436722842645505,0.4563085123873728,0.3803478630377478,0.424193387321629,1.0,1.0,0.7700982859865345,0
lgl,0.015329951640591274,0.0248948935470829,0.01938428996098457,0.04782233911963546,0.025059694504893766,0.023656482275566444,1.0,1.0,0.7700982859865345,0
mds,0.4372850608565301,0.04275975480261815,0.43184653984723154,0.43356002849648456,0.45330062906774204,0.4351026298585688,1.0,1.0,0.7700982859865345,0
kamada_kawai,0.8519255254284082,0.020161904116372663,0.8531892768068554,0.8976913675133671,0.5500392837421741,0.9186988160252479,1.0,1.0,0.6995871451309622,1
spring,0.9946666207557602,0.026614661098035973,0.9946666207557602,0.9946666207557602,0.9477843626608156,0.9946666207557602,1.0,1.0,0.6995871451309622,1
davidson_harel,0.3679554154675955,0.007834134996419162,0.3813674082517889,0.3045088781416655,0.3535273896479293,0.34714450237357813,1.0,1.0,0.6995871451309622,1
drl,0.4040873326700395,0.020032611538705985,0.3994781900948965,0.40113281687736435,0.4396168361015199,0.4041370158020337,1.0,1.0,0.6995871451309622,1
fruchterman_reingold,0.4060788204369337,0.02557285866449438,0.40237248748999327,0.40189108624013503,0.4071374382553034,0.4296640200211742,1.0,1.0,0.6995871451309622,1
graphopt,0.36479843076838997,0.015762328051764078,0.36349134276801803,0.4057864259493883,0.2454941799683843,0.34046980138189653,1.0,1.0,0.6995871451309622,1
lgl,0.02373054103448554,0.021781070035480833,0.03768367428168416,0.05418861073915478,0.04872662853706309,0.0072016192856481755,1.0,1.0,0.6995871451309622,1
mds,0.3854060439593444,0.047690211047990795,0.3776432284110292,0.3835539936624428,0.39367890678240514,0.42010152466085204,1.0,1.0,0.6995871451309622,1
kamada_kawai,0.9946665619886467,0.06814163203438961,0.9382120086077339,1.0,0.8703593907343775,0.9946665619886467,1.0,1.0,0.7277336575441973,2
spring,0.9490690731316527,0.15975122482278842,0.945515823313454,0.9456235069998071,1.0,0.9458029784978643,1.0,1.0,0.7277336575441973,2
davidson_harel,0.3835835598564763,0.03654508064139632,0.3970714989677424,0.33805025145109835,0.30986399775642093,0.4228978626865887,1.0,1.0,0.7277336575441973,2
drl,0.3973125812317876,0.035597454488796046,0.39207237561652725,0.39207237561652725,0.455558725076293,0.40773203679303505,1.0,1.0,0.7277336575441973,2
fruchterman_reingold,0.36996796567853785,0.18433770987405854,0.3638778544484199,0.36384939059823707,0.447347614212534,0.41716959792081465,1.0,1.0,0.7277336575441973,2
graphopt,0.3028238129310517,0.009176710008803634,0.3623261158442919,0.39238864100906223,0.350278193070231,0.3616927879558225,1.0,1.0,0.7277336575441973,2
lgl,0.05169896991310361,0.015462644504519363,0.04393240151030507,0.04493236286654339,0.05014660264554196,0.04579090712617419,1.0,1.0,0.7277336575441973,2
mds,0.3831619825330045,0.03915894212449123,0.40177531335431044,0.41066106367402566,0.45111028132864217,0.4017442438192299,1.0,1.0,0.7277336575441973,2
kamada_kawai,0.8023871872295929,0.042783264024142266,0.79415496039648,0.8151541129775353,0.7176246811921622,0.9188819586133462,1.0,1.0,0.6567486949718704,3
spring,0.9498757077145713,0.03676986136303414,0.9569336251806115,0.9557741076544609,0.9429055895139836,0.9662169311369553,1.0,1.0,0.6567486949718704,3
davidson_harel,0.2531433965115214,0.017104164579652976,0.24499512382671532,0.22181753905348084,0.245543093788143,0.19265636580851336,1.0,1.0,0.6567486949718704,3
drl,0.343861830779683,-0.003157294820749672,0.343861830779683,0.343861830779683,0.343861830779683,0.343861830779683,1.0,1.0,0.6567486949718704,3
fruchterman_reingold,0.343861830779683,0.018467360858132602,0.3409799447157832,0.343861830779683,0.3160204355897237,0.34381874574509325,1.0,1.0,0.6567486949718704,3
graphopt,0.20280310129326473,0.019194174291492033,0.2982746332039664,0.32014829553051893,0.22863597172081923,0.14064102479757784,1.0,1.0,0.6567486949718704,3
lgl,0.05045050379125292,0.018038249937269324,0.05204215335405267,0.0996079589138065,0.008464828847758241,0.008218553571256735,1.0,1.0,0.6567486949718704,3
mds,0.31142329069984964,0.01565320627985036,0.31573268359390894,0.31440016212450395,0.327983705181061,0.32550200827456777,1.0,1.0,0.6567486949718704,3
kamada_kawai,0.6217002845925292,0.044984486894966445,0.6715175950668235,0.7014769185873744,0.4687050796542923,0.40327801695737353,0.20138735827379187,1.0,0.4836577596081266,4
spring,0.7933205830153777,0.03865763673264296,0.7703360969375572,0.7878450941871178,0.7244845590527158,0.6530236118773571,0.20138735827379187,1.0,0.4836577596081266,4
davidson_harel,0.07133361109512577,0.004224678168497868,0.09694639906444633,0.0891125063470937,0.06060264315626125,0.10041950175287492,0.20138735827379187,1.0,0.4836577596081266,4
drl,0.024780839654736285,-0.008626870297602762,0.03257196330669067,0.030858139733963626,0.055882790694553444,0.02387069302789368,0.20138735827379187,1.0,0.4836577596081266,4
fruchterman_reingold,0.1073423516972883,-0.0019406994930767653,0.1261048809880133,0.1323953746017935,0.14117335887472263,0.14045435025204783,0.20138735827379187,1.0,0.4836577596081266,4
graphopt,0.09413443237864927,-0.0015586588067862187,0.12726474438013904,0.13037129997197056,0.10671420591463447,0.024225061527214674,0.20138735827379187,1.0,0.4836577596081266,4
