layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id,size
spring,0.5735720000010918,0.5517953591580047,0.5331702483761908,0.63656211784464,0.6072941896182643,0.6011195727595977,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
davidson_harel,0.27947019064415,0.1841729605978897,0.268890371235493,0.27355339354802,0.27947019064415,0.2272710364447998,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
drl,0.2103105351230905,0.1273042845222585,0.2136113588431064,0.2067374662738456,0.2890236162042169,0.1413665801275884,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
fruchterman_reingold,0.3013709011292984,0.3587669543303128,0.2711850404980807,0.3249273213162859,0.2989179329895944,0.3682340598347836,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
graphopt,0.3185526241384736,0.3669851721112773,0.2848604169803898,0.3043207260931852,0.3185526241384736,0.3676839132764098,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
lgl,0.0186857109846926,0.0205359960312442,0.0066857109846926,0.0066857109846926,0.0186857109846926,-0.002924973461125,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
mds,0.3304806622134603,0.188248104066313,0.3928579465643879,0.4441580020596513,0.2707934733490352,0.39303544042363,0.8173289527038051,0.6734241281805426,0.6655344155344155,3,25
kamada_kawai,0.4190035760212797,0.1139357788447702,0.3703740498079687,0.3643716912781338,0.2623324402095133,0.3141628688863713,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
spring,0.2889975002514947,0.246912546134415,0.2683465952276271,0.2580624658115718,0.0421213248940903,0.2444669847236278,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
davidson_harel,0.1259681101444623,0.0589730157280787,0.1172971500398168,0.0875849524226095,0.1259681101444623,0.1050112188194589,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
drl,0.0716752994955538,0.0462129409591028,0.0505237022706514,0.0447304845920053,0.0735128109947862,0.0748997730553298,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
fruchterman_reingold,0.1368901312558647,0.0695801945490522,0.1374099252115899,0.1120282709074297,0.133657296899214,0.1121679544220336,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
graphopt,0.0992533706506022,0.0742187151509952,0.0795443688236253,0.0517727050149752,0.0992533706506022,0.064831070559969,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
lgl,0.0111717350076446,0.0266676350425868,0.0090555198879293,0.0090555198879293,0.0111717350076446,0.0395298994229726,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
mds,0.1262050281316552,0.1075419287389943,0.1036060226654765,0.1059842204544599,0.1289340662978413,0.065746613361343,0.4714462741582286,0.4823373053187925,0.3929790940871497,30,25
kamada_kawai,0.2155792732456483,0.0485087447097085,0.1795833404026111,0.1796609549038616,0.067495558731712,0.112596654313295,0.5239581777327086,0.5864456146345254,0.4913803165872625,32,25
spring,0.7191890140605155,0.3785352307661385,0.5809401545725127,0.7017387222198443,0.9058187621257964,0.705982726480625,1.0,1.0,0.6287204734159093,5,25
davidson_harel,0.2433111358226693,0.0260953497199772,0.1624936724079538,0.2119037454953307,0.2552547465039869,0.1530888561921702,1.0,1.0,0.6287204734159093,5,25
drl,0.1957424737837978,0.1347933764939704,0.2591659573273572,0.2424490637847306,0.2236362681193735,0.2106674754166756,1.0,1.0,0.6287204734159093,5,25
fruchterman_reingold,0.3715625090996878,0.4435227285693054,0.4152457292121975,0.3935527262847241,0.4349230123077835,0.3649403465662414,1.0,1.0,0.6287204734159093,5,25
graphopt,0.4169448373260097,0.3512303137645242,0.3958935487984976,0.4424550854912934,0.4169448373260097,0.4837796517261202,1.0,1.0,0.6287204734159093,5,25
lgl,0.0153690296107533,0.0590425626051633,0.0483889357493121,0.0830213185530777,0.0153690296107533,0.0054581071496772,1.0,1.0,0.6287204734159093,5,25
