layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id
kamada_kawai,0.8692936232048913,0.4788510255132793,0.9168716723089487,0.9168716723089487,0.9134948894237848,0.9237477001278744,1.0,1.0,0.9412027940757423,0
spring,0.81252761300291,0.3349776192318138,0.8265346828770147,0.82718302657083,0.968655546848763,0.832950630956123,1.0,1.0,0.9412027940757423,0
davidson_harel,0.509864662829513,0.3763980977667348,0.4960542570139176,0.5719990252898837,0.6217077684482121,0.45049557115333866,1.0,1.0,0.9412027940757423,0
drl,0.6440255144809706,0.44192174841229104,0.6440255144809706,0.6440255144809706,0.6760137118625745,0.6183268379291611,1.0,1.0,0.9412027940757423,0
fruchterman_reingold,0.6061952169808215,0.31489859960856376,0.5961132309329336,0.5987129732878498,0.627239705952152,0.6019271282566306,1.0,1.0,0.9412027940757423,0
graphopt,0.5595727101169686,0.40012520843168087,0.6127627099734935,0.6016575708350012,0.5960625390089188,0.6003003540029496,1.0,1.0,0.9412027940757423,0
lgl,0.057287505634479687,0.05867330761760172,0.05318332395322117,0.06797686068607636,0.0048982390598997,0.05673467680292699,1.0,1.0,0.9412027940757423,0
mds,0.6102512909022536,0.26174999289799133,0.5967101188620634,0.6059615967906524,0.3373239158383409,0.5975607639955037,1.0,1.0,0.9412027940757423,0
kamada_kawai,0.8428619156868369,0.07324147206239723,0.7532737173698953,0.7920616316981979,0.8851818568217246,0.8448166053215523,0.9471668484543411,0.685355671531382,0.8434684787081066,1
spring,0.8016243594437645,0.6836071312742531,0.7856482273762959,0.7946651401970181,0.8,0.8551308562660325,0.9471668484543411,0.685355671531382,0.8434684787081066,1
davidson_harel,0.3944187268492242,0.31670100778552446,0.42596172057567677,0.437439053993423,0.5715175126520572,0.4927455501170982,0.9471668484543411,0.685355671531382,0.8434684787081066,1
drl,0.48599150862024326,0.31351343461683945,0.4589193625262185,0.47703914493289845,0.5114247566231083,0.45932230486506775,0.9471668484543411,0.685355671531382,0.8434684787081066,1
fruchterman_reingold,0.4858178979339181,0.2792039815492212,0.4631665266476662,0.489476316627968,0.6074734174881041,0.5020471655012135,0.9471668484543411,0.685355671531382,0.8434684787081066,1
graphopt,0.522361285318639,0.4070805155086908,0.4688974383225992,0.5300639316984419,0.5367611295535298,0.5633490296267687,0.9471668484543411,0.685355671531382,0.8434684787081066,1
lgl,0.1200761402467128,0.08889129099603285,0.12207016107509357,0.12207016107509357,0.11076927306389153,0.13527165445265865,0.9471668484543411,0.685355671531382,0.8434684787081066,1
mds,0.45072078541344346,0.3568921501709883,0.40959328823604696,0.44216521951023546,0.5435901108123916,0.5163917956830625,0.9471668484543411,0.685355671531382,0.8434684787081066,1
kamada_kawai,0.9192099591367271,0.39489861377229973,0.9000681562805092,0.8888199060049746,0.9538800440572744,0.8804283247510029,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
spring,0.8552138036614707,0.38751659830849666,0.9037470676532775,0.9076078041039913,1.0,0.872236497828618,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
davidson_harel,0.42950245257952224,0.2548744028455269,0.4899103898225272,0.41082968135730946,0.4546545301092243,0.4257950774791638,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
drl,0.45542930299943396,0.15208030957453744,0.416977879248153,0.4611863141823319,0.5053977962922913,0.49553010936124053,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
fruchterman_reingold,0.5012625790391434,0.23461090903992302,0.4800919726934104,0.5023510338426307,0.5563646575132647,0.558857503741375,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
graphopt,0.48538320171868704,0.37099042219931244,0.4867637915430268,0.5069979967763761,0.396010932146869,0.5404515006101815,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
lgl,0.05792675986325705,0.07435426575651462,0.07141116293095537,0.06204969042159351,0.020981075436061796,0.052516217194448586,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
mds,0.5607839311927357,0.23846367912362795,0.5558768614672884,0.5565124444716599,0.45655302552037025,0.544061532242985,0.9895229746199405,0.9199184397715069,0.8046763485686321,2
kamada_kawai,0.7363792888469367,0.13525132446531674,0.743970411826656,0.7719718683261934,0.6039066309724592,0.6636725301755882,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
spring,0.8859636936128256,0.21888155807425597,0.8853566971113637,0.9185889460622588,0.8291986922753092,0.9138523812171228,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
davidson_harel,0.26489475823597036,0.07577674085596102,0.31020371314395667,0.2989028557622023,0.18242263705737424,0.22069319164095144,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
drl,0.11354846848368372,0.026781467539493516,0.16682031592781074,0.16101118318183216,0.21528097538226643,0.049462330226087134,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
fruchterman_reingold,0.3395601975191971,0.1052089398695037,0.3220497849571989,0.3312021008578664,0.3433174492668364,0.3527341412976126,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
graphopt,0.27690475298377437,0.10768762159334844,0.29848242318993434,0.3069911629754344,0.20578532233009444,0.24649858981048078,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
lgl,0.12287215655537698,0.044230510441367714,0.09357463709515443,0.10554241027413318,0.07886983559355613,0.10918289458820944,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
mds,0.3847907220488906,0.10610803464545367,0.3922129755488782,0.39992606104672035,0.38311700134589294,0.32282814589665126,0.7736761026330645,0.9179739967578655,0.6560836001568091,3
kamada_kawai,0.6325561869212034,0.07373834450916486,0.6258811409646869,0.5792424896727038,0.5349401061076906,0.37037054025927985,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
spring,0.49002249965169165,0.37484146228737747,0.7304777336472931,0.6917909726338959,0.8304885528452948,0.7300682013689525,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
davidson_harel,0.16863667000819557,0.04984013194167588,0.17272897456266748,0.16091990010018292,0.1786186514520899,0.08424652955360207,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
drl,0.04790898420010002,0.006282394339371181,0.05011650748859673,0.056441770278532075,0.05176723468699411,0.011009162141192293,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
fruchterman_reingold,0.21072616674234412,0.019209613498360832,0.20953168468054004,0.2046155125351441,0.20805737149454942,0.11307484296629747,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
graphopt,0.15738232601719368,0.05863013424272693,0.13681490577900413,0.14937986821060406,0.12664993171726846,0.15109167374186477,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
lgl,0.0616808518726103,0.04253184527649094,0.047423751367764826,0.04774574804558407,0.013583089273882696,0.03126125922812357,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
mds,0.19288196806399707,0.07699611981042678,0.20306541221536056,0.19453909879785752,0.17624308479615508,0.1914183776050215,0.8771469293583751,0.8640129275169042,0.5851343620637258,4
