layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id
kamada_kawai,0.8195438583566492,0.32814468362983606,0.8540579600801464,0.8617205175221155,1.0,0.8864288020337561,1.0,1.0,0.9395083971918112,0
spring,0.9657832853330515,0.23112691745604924,0.9307667096514922,0.9307667096514922,1.0,0.9657832853330515,1.0,1.0,0.9395083971918112,0
davidson_harel,0.8120184917356535,0.26948676773930924,0.792123390104944,0.792123390104944,0.7921270071420163,0.8120184917356535,1.0,1.0,0.9395083971918112,0
drl,0.713088829389606,0.2429074893681727,0.711174597496078,0.7107496340746932,0.8221102096180204,0.7360558612334192,1.0,1.0,0.9395083971918112,0
fruchterman_reingold,0.8221102096180204,0.15647162882955057,0.8221102096180204,0.8221102096180204,0.8221102096180204,0.8221102096180204,1.0,1.0,0.9395083971918112,0
graphopt,0.6214957880511387,0.7540965819145762,0.638415496432138,0.637841899738915,0.8120184917356535,0.6817693828338092,1.0,1.0,0.9395083971918112,0
lgl,0.026242507373843864,0.05276348934520536,0.032061191643689715,0.03610043483967399,0.0034901606513140664,0.028653274272664474,1.0,1.0,0.9395083971918112,0
mds,0.7408190348592381,0.13747905217381498,0.7049902014096596,0.7467986780239668,0.7464364550745021,0.7663172312015765,1.0,1.0,0.9395083971918112,0
kamada_kawai,0.8715602696591592,0.29101314872853196,0.8620976976066526,0.871133499103206,0.8935276037624126,0.9432044961115611,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
spring,0.9094094121722558,0.15891557713549984,0.9189789867098881,0.9087233525923848,0.9581940075938178,0.9660595154152134,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
davidson_harel,0.46290798375935555,0.17797263276228378,0.4716995664229874,0.47072278073812235,0.5276959886278809,0.4886737425724609,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
drl,0.5618608598493277,0.10761431522059033,0.5197808212602888,0.5570278969723065,0.6003424149197079,0.5213730572839809,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
fruchterman_reingold,0.5189717472110221,0.2634408604854507,0.5236038823648503,0.5251630925874874,0.585987808871417,0.5700001780555265,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
graphopt,0.5737218582292613,0.472503069631183,0.5638906376938406,0.5621587794140739,0.5830430432448848,0.5753184958226628,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
lgl,0.052247062718264924,0.056621479665904764,0.05103483079126424,0.05370477998350792,0.0459079647305559,0.06030684954868877,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
mds,0.4779929010419114,0.10788026766145324,0.47083028155181517,0.4977320691203726,0.5280298516280933,0.48419890398814147,0.9932108660498796,0.9193904694579615,0.8750098058575425,1
kamada_kawai,0.8336219895156429,0.3227621417824083,0.8435113069215732,0.8658134574858358,0.9176774704710585,0.9030000017690837,0.99289200791955,1.0,0.8066380277620473,2
spring,0.8058000496974673,0.2351869977634478,0.8567912507692682,0.8587991181227679,0.9788165169993335,0.8964786045485809,0.99289200791955,1.0,0.8066380277620473,2
davidson_harel,0.4325986920908137,0.13558130034963958,0.5375917365775527,0.4639042966529011,0.45862514259938847,0.5637084101482225,0.99289200791955,1.0,0.8066380277620473,2
drl,0.6157627743463451,0.12737883410055678,0.6044862977317486,0.6195712683020217,0.7030833205816652,0.6294728103897356,0.99289200791955,1.0,0.8066380277620473,2
fruchterman_reingold,0.5459458082629874,0.07276654634899524,0.5160797525932627,0.5163371512010694,0.6646229844913407,0.6056986210834583,0.99289200791955,1.0,0.8066380277620473,2
graphopt,0.5921549940855944,0.17977550254103508,0.6039400688402468,0.6677617441767271,0.6084883183322098,0.6435757146190744,0.99289200791955,1.0,0.8066380277620473,2
lgl,0.027116789971507082,0.0501187478985762,0.03837215388335946,0.0444155490998015,0.0325102592449328,0.0174146397482672,0.99289200791955,1.0,0.8066380277620473,2
mds,0.6004236891347001,0.1072419026736112,0.6499769170576926,0.6526085109318464,0.6655211680513679,0.6533153023687207,0.99289200791955,1.0,0.8066380277620473,2
kamada_kawai,0.7663020930048023,0.08815784362484984,0.7032053477454654,0.7157262307551269,0.5259835533870358,0.7340333352957923,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
spring,0.8138880978559252,0.25887474282338696,0.8276685346112185,0.8488581705737493,0.9455939673423307,0.898709907853975,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
davidson_harel,0.26535741904308763,0.0386632696058969,0.24664874847975654,0.2447369886764847,0.26850478310659454,0.23872825752896326,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
drl,0.18574098466717778,-0.006681768625518577,0.18206004806100684,0.17127561752217316,0.14926722276519777,0.11519208231411245,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
fruchterman_reingold,0.34894312899813945,0.11318943075295407,0.30346224133723043,0.31778648147015665,0.3391241328869742,0.3132325533210557,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
graphopt,0.2918160987499738,0.09917384529615758,0.24640473423682235,0.32936691986379596,0.24910390654913117,0.25828822424386394,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
lgl,0.00964754820809566,0.02563432344225347,0.01637904392149166,0.012064009941936956,0.003533225959410841,0.007801765379343568,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
mds,0.3276354262630002,0.05641583401474859,0.2865306995650511,0.29778261815308954,0.19590378315597984,0.34629605096100613,0.9932108660498796,0.9276442836539637,0.6661792709755202,3
kamada_kawai,0.8067932350280257,0.13823534043388325,0.7339012076756785,0.7812863146215306,0.5494589459552022,0.799081672550333,0.4108651904649565,0.8870987380568461,0.5806772297410088,4
spring,0.872839672340478,0.3063091821335651,0.8363048360259301,0.8428593665441252,0.8276647955748884,0.9022000490198934,0.4108651904649565,0.8870987380568461,0.5806772297410088,4
davidson_harel,0.24536743338991215,0.0467152932379918,0.196667888387351,0.18617475963779045,0.18554601394580042,0.2507411432487339,0.4108651904649565,0.8870987380568461,0.5806772297410088,4
drl,0.08687243438357256,0.02131654896492885,0.09108334195528775,0.09645631551682571,0.1355182449443706,0.12274157366686902,0.4108651904649565,0.8870987380568461,0.5806772297410088,4
fruchterman_reingold,0.27093307459373445,0.028766564107638865,0.22451729760975883,0.25931055187735985,0.2170847821785689,0.280972112319681,0.4108651904649565,0.8870987380568461,0.5806772297410088,4
