layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id
kamada_kawai,0.6773454379675818,0.38766517278383555,0.7295070902039129,0.6975070902039129,0.797500836307523,0.7203760005580058,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
spring,0.8250078249695564,0.8432212835022888,0.7700527447074805,0.7755933028771709,0.8064396549455767,0.7811580676581156,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
davidson_harel,0.38165711089728344,0.3577723152534129,0.3620307669900588,0.3561972438707069,0.3630683633419961,0.28461515332590775,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
drl,0.326553186581907,0.25601550356207026,0.33294358717937056,0.40551946370788894,0.4199261049028423,0.29039760478793386,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
fruchterman_reingold,0.4615653746756596,0.37102097636807774,0.5003556766757347,0.5218730134765688,0.4787440154590934,0.4822565927405401,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
graphopt,0.3959061270937951,0.28079868610158665,0.323266407444204,0.45296874183768143,0.33458516935992283,0.39023079863473153,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
lgl,0.185302888421114,0.05679337075257159,0.13192220507432895,0.13192220507432895,0.185302888421114,0.1797093976694835,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
mds,0.5045907698090275,0.23174866517909237,0.488638832889427,0.488638832889427,0.5553338291017289,0.3987513172753576,0.8392373432732594,0.6248537876388521,0.7696362518264895,0
kamada_kawai,0.4019694204611577,0.5250575691582924,0.621733570033022,0.7116941434323171,0.725648460379061,0.528471119717478,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
spring,0.6100649192198268,0.6807982650344055,0.6019585919268393,0.6079675038666233,0.5263863784106103,0.5592549657265191,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
davidson_harel,0.281427270237162,0.19650256492666812,0.1878457543391452,0.24730620009418933,0.2771151123638709,0.17382223397455934,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
drl,0.3769150021386053,0.3271137328355922,0.3772743144979288,0.4478243854047631,0.4031229284258352,0.4413374554258125,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
fruchterman_reingold,0.43334424398239213,0.34990146093451413,0.37779736233776295,0.39191717951437427,0.5234756951486521,0.33543218163699623,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
graphopt,0.32326654445034814,0.38992924342033186,0.34723161440157824,0.38901266710106147,0.41839354843677146,0.38159052093861345,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
lgl,0.16154174165883917,0.18382718302449422,0.16154174165883917,0.16154174165883917,0.12931176675162526,0.3280108117081695,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
mds,0.319070487284819,0.2780064742072357,0.32254159180806585,0.295322885717059,0.22015774957522072,0.2021996080506076,0.6564030917836279,0.4801515793885104,0.7945442526881843,1
kamada_kawai,0.7811040224374592,0.25889078815005745,0.6961341991341992,0.7252736103615758,0.8090070232306861,0.5294247103465384,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
spring,0.7579531177041436,0.48336143706240164,0.6972655631270956,0.6902828002859787,0.7146666666666667,0.7377355069593343,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
davidson_harel,0.28328751489724413,0.1076877728208985,0.2659310471183612,0.24993537081862716,0.2709196372371041,0.19263305436483635,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
drl,0.1196372666649492,0.05070999914630962,0.13443299016125626,0.1659138312489811,0.20607522583641988,0.13160591490539958,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
fruchterman_reingold,0.31741152745251106,0.2774218120423323,0.39104251094298054,0.35075195454413344,0.3522818406641936,0.39114530586112567,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
graphopt,0.29056484835313434,0.24393795119622935,0.3344300343514873,0.35043003435148734,0.33750688985686017,0.2515437371869759,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
lgl,0.1608015343026519,0.12399890899603919,0.10334860673546913,0.10334860673546913,0.01790547220804246,0.17713133708797402,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
mds,0.25769625566222,0.13268126070853475,0.2526142667686365,0.24872042545560769,0.1866003521974986,0.2334409864260239,0.9587145517424848,0.8412997198879552,0.7023992910470443,2
kamada_kawai,0.42709409916889074,0.2365656469914892,0.44558894354545736,0.5670452748860197,0.47205899939112417,0.43884301662122327,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
spring,0.545722877603785,0.5176912536546108,0.5562739520704924,0.5851650735543674,0.24831022747626724,0.4981854219690236,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
davidson_harel,0.10935573484552541,0.030660225442834137,0.07822261020451979,0.09608503132572209,0.07210681511616193,0.043637291690790884,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
drl,0.15432872118167817,0.04129341200855882,0.18450545256270448,0.20172353448252034,0.18988558361404,0.07567233011726773,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
fruchterman_reingold,0.2475075135442113,0.2793057115011178,0.2464441279073506,0.20053320800816016,0.298956019464912,0.26239656161628333,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
graphopt,0.25510789197298045,0.04592106531166499,0.2842607055932021,0.28299590042517275,0.3982779897697245,0.205053647574532,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
lgl,0.10209254377993818,0.21855640051678407,0.10999808466951674,0.09933141800285009,0.10086615317628471,0.10209254377993818,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
mds,0.35470518128571926,0.14605459587786151,0.2738655697471141,0.2682332096777415,0.18331446804492707,0.23200482521473295,0.6117956687166883,0.5550263610082238,0.6113396603879272,3
kamada_kawai,0.4509420350926262,0.2105989574575416,0.6103404537068738,0.6048005994428629,0.7763390984304037,0.5349558138324901,0.703067013590222,0.5640977052299354,0.6583960928104429,4
spring,0.6878691864705436,0.430418044283574,0.6789464123524069,0.6558829897278848,0.7154732287542391,0.657793556103324,0.703067013590222,0.5640977052299354,0.6583960928104429,4
davidson_harel,0.25601604370755526,0.14176193171841972,0.3130133883644753,0.3240667209205068,0.22787602897190057,0.31283815967662754,0.703067013590222,0.5640977052299354,0.6583960928104429,4
drl,0.11681426495741923,-0.0017567276641550055,0.09931808436450125,0.09105452769033892,0.13233742847123073,0.05229124456510229,0.703067013590222,0.5640977052299354,0.6583960928104429,4
fruchterman_reingold,0.4252441306625972,0.12231405819101508,0.41318915825006053,0.4622907861297308,0.35532312269518795,0.31637866920653834,0.703067013590222,0.5640977052299354,0.6583960928104429,4
graphopt,0.2759377888718815,0.13732791642439773,0.31330469969228003,0.34130469969228,0.2963458254695785,0.3869655348615468,0.703067013590222,0.5640977052299354,0.6583960928104429,4
lgl,0.055447755833607094,0.022095930212365413,0.06258439857899342,0.06258439857899342,0.06886900958466455,0.06646798330826326,0.703067013590222,0.5640977052299354,0.6583960928104429,4
mds,0.33843727351539465,0.31131183193637285,0.4043456855169184,0.35433435960314574,0.36960529857908486,0.4419294797760728,0.703067013590222,0.5640977052299354,0.6583960928104429,4
kamada_kawai,0.6478399142397713,0.5434014676928584,0.6042498054008743,0.6282498054008742,0.7490900852560662,0.7038399142397713,0.7946666666666666,1.0,0.6563795625091505,5
spring,0.8613333333333333,0.693024154589372,0.968,0.9719999999999999,0.7386666666666667,0.8666666666666668,0.7946666666666666,1.0,0.6563795625091505,5
davidson_harel,0.278239224137931,0.10017900905700587,0.2399730326352843,0.2573063659686176,0.34978367078779193,0.2875353319057816,0.7946666666666666,1.0,0.6563795625091505,5
drl,0.3095518117869599,0.19060519342872284,0.3652896874814683,0.3652896874814683,0.3146666666666667,0.27088514512029327,0.7946666666666666,1.0,0.6563795625091505,5
fruchterman_reingold,0.5336962737005801,0.45073968995032027,0.5010274833842285,0.5495904334828101,0.4821631801656833,0.563542284999106,0.7946666666666666,1.0,0.6563795625091505,5
graphopt,0.4549798432920629,0.2902580222658808,0.4256465099587296,0.4136465099587296,0.5410856700601298,0.45949651349901666,0.7946666666666666,1.0,0.6563795625091505,5
lgl,0.08816532474503488,0.11404708798017346,0.13340283001970268,0.13340283001970268,0.09616532474503489,0.11668879371877232,0.7946666666666666,1.0,0.6563795625091505,5
mds,0.4726888570746839,0.4332334770114943,0.35231317662539624,0.3777175992348159,0.46735552374135053,0.47814773743516364,0.7946666666666666,1.0,0.6563795625091505,5
kamada_kawai,0.4377561972861364,0.1663814668872051,0.4374968439360485,0.4101423262425815,0.4157736876563617,0.4675914589572982,0.4914302009601067,0.5385109471176673,0.57169061155172,6
spring,0.37026782345939,0.3586345052533123,0.5273879191970176,0.4401814036468622,0.14059440792557393,0.4072057199895374,0.4914302009601067,0.5385109471176673,0.57169061155172,6
davidson_harel,0.18668328404802245,0.17525955340172805,0.21619806826034874,0.2244527605511733,0.1867935191412275,0.17679918283341245,0.4914302009601067,0.5385109471176673,0.57169061155172,6
drl,0.1383876459705788,0.08954128401438542,0.1769557705654013,0.17464374846845593,0.018964270729157563,0.14916228081315822,0.4914302009601067,0.5385109471176673,0.57169061155172,6
fruchterman_reingold,0.22621284219291554,0.19147980072262988,0.29474112244969686,0.2311415280323213,0.32096463703385286,0.2557451180703048,0.4914302009601067,0.5385109471176673,0.57169061155172,6
graphopt,0.2879181845275499,0.1658641905224492,0.2706444879241194,0.2901591715566859,0.3232368469367794,0.24162295399533304,0.4914302009601067,0.5385109471176673,0.57169061155172,6
lgl,0.13065574814476633,0.23166608978944855,0.13065574814476633,0.13065574814476633,0.12640893278783388,0.2360564371150172,0.4914302009601067,0.5385109471176673,0.57169061155172,6
mds,0.2147433766387306,0.15896672620329544,0.21289255613622132,0.18292124675670224,0.23920966383616551,0.20413216732190292,0.4914302009601067,0.5385109471176673,0.57169061155172,6
kamada_kawai,0.47070545722462176,0.15162488165381705,0.3807136960655292,0.3987058101540679,0.4715634953293083,0.4133513211573935,0.5847500775870142,0.4936825526414797,0.691102235404041,7
spring,0.6247123542571963,0.4996544386381774,0.6149793385363636,0.5318726597814527,0.24180214366147662,0.6437208516649491,0.5847500775870142,0.4936825526414797,0.691102235404041,7
davidson_harel,0.19730245344986425,0.17497349115141422,0.2440445992160365,0.20891905746629486,0.22514774625354272,0.2098721028484008,0.5847500775870142,0.4936825526414797,0.691102235404041,7
drl,0.18486120915501472,0.15568072871371863,0.1541972519943688,0.16841899297377136,0.03967677827989936,0.14134684522557558,0.5847500775870142,0.4936825526414797,0.691102235404041,7
fruchterman_reingold,0.19648065245773122,0.19526734057550843,0.1835043993900539,0.2368194933474042,0.222721467371385,0.23060144151031983,0.5847500775870142,0.4936825526414797,0.691102235404041,7
graphopt,0.19249712085071127,0.1908772801233888,0.19655199888780137,0.1978411513703384,0.22345431497845789,0.17275259262119652,0.5847500775870142,0.4936825526414797,0.691102235404041,7
lgl,0.05819641047190055,0.06951122512441736,0.049400529911710594,0.049400529911710594,0.04780906584728767,0.09211087401712996,0.5847500775870142,0.4936825526414797,0.691102235404041,7
mds,0.23901983590385112,0.2029450218466428,0.26605651705075584,0.30102656872588934,0.19944145956343168,0.20970487902689397,0.5847500775870142,0.4936825526414797,0.691102235404041,7
kamada_kawai,0.4475715998738288,0.40080486136186344,0.5898251051781822,0.5669897077426853,0.5645522268981361,0.4756275990744542,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
spring,0.49398954199395073,0.5081620891785084,0.5207703329888986,0.5627645464868948,0.22053125259795014,0.5594204890407786,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
davidson_harel,0.3732061483809296,0.19899525525950845,0.3486916822368087,0.3016669351999253,0.345440878215032,0.3844983123440969,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
drl,0.2947941388379025,0.3360106203492741,0.2716183629611903,0.32792848748238435,0.1981163034782928,0.22791704778978605,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
fruchterman_reingold,0.39071030545752244,0.3690025225826411,0.3092118595095824,0.30662522337983233,0.40515157696030907,0.2799559358996009,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
graphopt,0.31171586289635245,0.32954027136484276,0.29682909090590925,0.2979653719414192,0.24579981757725636,0.32889484427450744,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
lgl,0.11463990733706157,0.14459901681656834,0.10468811150260052,0.10468811150260052,0.09523217631096112,0.163185616281396,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
mds,0.34035638966074017,0.2234793732326752,0.31014062240942286,0.32671285025523183,0.203016203411062,0.34839843885162136,0.5252609814926702,0.6805019347394762,0.7192968582629999,8
kamada_kawai,0.44887858099401684,0.21822266677420324,0.48790948985911775,0.3936800755361277,0.36363071203843494,0.4148284460357844,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
spring,0.6889430437154358,0.6180350108933383,0.7333953288342258,0.6591265332609787,0.49613493047341584,0.674593443141308,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
davidson_harel,0.4068835387179887,0.5132636778763466,0.45738462304114497,0.45632030669751167,0.3428722648660984,0.410370229804652,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
drl,0.47004834145051255,0.537126212843743,0.4500141377947198,0.4485330835756326,0.3102149063123471,0.4784698837701934,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
fruchterman_reingold,0.5475668956823261,0.5137661726603321,0.5329787330295833,0.551778665717832,0.5994706666516267,0.5006255968727681,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
graphopt,0.5715263984590384,0.4779166952289322,0.567089555596092,0.516482439135317,0.37132955213111013,0.459552193597756,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
lgl,0.1974679093860981,0.12267383967069294,0.1865650160266396,0.1821699084625803,0.14465109289394246,0.1786356777125754,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
mds,0.5219461528552364,0.4046081502217085,0.5072019264208649,0.44624242187687335,0.31718669898243845,0.32748917897829355,0.8242623601598874,0.8062208174214884,0.8432031506378319,9
kamada_kawai,0.6549854388975347,0.2868970784704864,0.5236408822459864,0.5644739943232773,0.5325960864988509,0.4569085581008486,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
spring,0.5430491865460402,0.37195283614987906,0.47095998668136996,0.5880806791530028,0.46194999303328216,0.5543013377282376,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
davidson_harel,0.2074279491630327,0.18365276649919365,0.27440703392720184,0.2840096562975751,0.21564383470429646,0.24837821217001615,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
drl,0.28076675732092243,0.24865326772987184,0.25206660276085807,0.2380779761206206,0.2847898982025436,0.24005618890213443,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
fruchterman_reingold,0.266946658585447,0.2717147663525944,0.2958434280454408,0.3041867758008553,0.3080319456101267,0.2711800764603758,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
graphopt,0.2794605404465821,0.23583303894816318,0.3376224171180582,0.37825073361900025,0.3543875942403186,0.29320486785783967,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
lgl,0.04365466285833326,0.09764133653217617,0.0676376267253779,0.0676376267253779,0.025615696070293174,0.05211144954620438,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
mds,0.25657135963622085,0.21635959115517772,0.270415823115014,0.24083121670880675,0.26046474063750547,0.2635808858623242,0.5831187981225388,0.6416892457408211,0.6890216198440827,10
kamada_kawai,0.6523363619849848,0.28259308665756994,0.6357061325991948,0.6197795119889384,0.5546191511917614,0.5526759097028622,0.7283286062690307,0.6364598222861172,0.6037731507140269,11
spring,0.4991023792302004,0.30025071527111113,0.4904491779678527,0.5051829395413482,0.2722537565267159,0.4471720593672172,0.7283286062690307,0.6364598222861172,0.6037731507140269,11
