layout,AgglomerativeClustering,OPTICS,KMeans,GMM,Birch,Genie,Girvan-Newman,Leiden,assortativity,graph_id
kamada_kawai,0.9255966667306694,0.0684694660635966,0.9214489013803625,0.9214489013803625,0.9872842779250662,0.9732809365648329,1.0,1.0,0.9397308302961674,0
spring,0.868269252945774,0.11152744143180607,0.8798958209082869,0.8810106465495255,1.0,0.9475542750167711,1.0,1.0,0.9397308302961674,0
davidson_harel,0.7317746233774318,0.04248229837947916,0.7034078968083847,0.7307447642300262,0.6939184592869314,0.7317746233774318,1.0,1.0,0.9397308302961674,0
drl,0.7377689479109163,0.03526366821559911,0.7377689479109163,0.7377689479109163,0.7377689479109163,0.7377689479109163,1.0,1.0,0.9397308302961674,0
fruchterman_reingold,0.5731471199306005,0.07287188520831986,0.6220576674850936,0.6220588416745321,0.6912125976220267,0.6382197657413545,1.0,1.0,0.9397308302961674,0
graphopt,0.5675807270494672,0.04466444841692095,0.6820964644786371,0.6819905446947852,0.6872530141900963,0.6278421234722871,1.0,1.0,0.9397308302961674,0
lgl,0.0853719026976604,0.031001814220008788,0.06707957270856636,0.11993769758694109,0.06679161243060075,0.05707605820483904,1.0,1.0,0.9397308302961674,0
mds,0.5818202489247232,0.06858957301744376,0.6224324021256701,0.6278459134553721,0.7206542050444098,0.6496546823576848,1.0,1.0,0.9397308302961674,0
kamada_kawai,0.9338931661072515,0.061372674036945706,0.9201396592811131,0.9215287291682372,0.9644751752724101,0.9718731766420342,1.0,1.0,0.8733441766515447,1
spring,0.9317654484391967,0.057156484815681405,0.9299901899100294,0.9299901899100294,1.0,0.944622727943967,1.0,1.0,0.8733441766515447,1
davidson_harel,0.5097414600195701,0.045653826234133624,0.5558378306349337,0.5277347319788382,0.5802465926472783,0.5631092287732261,1.0,1.0,0.8733441766515447,1
drl,0.5991293826255191,0.01660073667520435,0.6015732930972455,0.6015732930972455,0.6209832100766739,0.6015852467097662,1.0,1.0,0.8733441766515447,1
fruchterman_reingold,0.5274080296235095,0.024388425910778187,0.5375585704701848,0.5375583413765401,0.5537466486722215,0.5473048886859265,1.0,1.0,0.8733441766515447,1
