graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo,diff,abs_diff
5,0.9726708315804188,graphopt,2,3,100,mix_75ch_25elbow,1,1
6,0.9429368132563614,graphopt,2,3,100,mix_75ch_25elbow,1,1
7,0.7441710170014713,graphopt,4,4,100,mix_75ch_25elbow,0,0
8,0.9260669668062295,graphopt,4,4,100,mix_75ch_25elbow,0,0
9,0.8022107812739498,graphopt,5,4,100,mix_75ch_25elbow,-1,1
10,0.4965570750185455,graphopt,6,3,100,mix_75ch_25elbow,-3,3
11,0.8826391520678745,graphopt,6,6,200,mix_75ch_25elbow,0,0
12,0.9066300414666173,graphopt,3,3,200,mix_75ch_25elbow,0,0
13,0.9302322704612835,graphopt,3,3,200,mix_75ch_25elbow,0,0
14,0.6077044401281457,graphopt,4,4,200,mix_75ch_25elbow,0,0
15,0.6207024679708851,graphopt,3,3,200,mix_75ch_25elbow,0,0
16,0.9763973141205047,graphopt,2,3,200,mix_75ch_25elbow,1,1
17,0.9241703470791998,graphopt,3,3,200,mix_75ch_25elbow,0,0
18,0.8044652581621298,graphopt,3,3,200,mix_75ch_25elbow,0,0
19,0.9276546189193171,graphopt,5,3,200,mix_75ch_25elbow,-2,2
20,0.6904263575815026,graphopt,6,4,200,mix_75ch_25elbow,-2,2
21,0.438699909112101,graphopt,6,4,200,mix_75ch_25elbow,-2,2
22,0.9126038217930322,graphopt,5,5,300,mix_75ch_25elbow,0,0
23,0.8299920975374673,graphopt,5,5,300,mix_75ch_25elbow,0,0
24,0.849000907775714,graphopt,6,6,300,mix_75ch_25elbow,0,0
25,0.7769483123316171,graphopt,2,4,300,mix_75ch_25elbow,2,2
26,0.5317925086220212,graphopt,4,3,300,mix_75ch_25elbow,-1,1
27,0.9240729073360956,graphopt,5,5,300,mix_75ch_25elbow,0,0
28,0.9460103405262121,graphopt,2,2,300,mix_75ch_25elbow,0,0
29,0.7120515680796091,graphopt,5,4,300,mix_75ch_25elbow,-1,1
30,0.9079651572940833,graphopt,6,6,300,mix_75ch_25elbow,0,0
31,0.7775620264927305,graphopt,4,4,300,mix_75ch_25elbow,0,0
32,0.6354895532081991,graphopt,3,3,300,mix_75ch_25elbow,0,0
33,0.8914174554872343,graphopt,6,6,400,mix_75ch_25elbow,0,0
34,0.8021555041061552,graphopt,5,5,400,mix_75ch_25elbow,0,0
35,0.949544770147312,graphopt,2,4,400,mix_75ch_25elbow,2,2
36,0.7743925363692158,graphopt,2,4,400,mix_75ch_25elbow,2,2
37,0.4976917613026043,graphopt,5,3,400,mix_75ch_25elbow,-2,2
