graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.768798015849011,kamada_kawai,2,2,150.0,silhouette
0,0.768798015849011,spring,2,2,150.0,silhouette
0,0.768798015849011,davidson_harel,2,2,150.0,silhouette
0,0.768798015849011,drl,2,2,150.0,silhouette
0,0.768798015849011,fruchterman_reingold,2,2,150.0,silhouette
0,0.768798015849011,graphopt,2,2,150.0,silhouette
0,0.768798015849011,lgl,2,4,150.0,silhouette
0,0.768798015849011,mds,2,2,150.0,silhouette
1,0.7344805224818165,kamada_kawai,2,2,150.0,silhouette
1,0.7344805224818165,spring,2,2,150.0,silhouette
1,0.7344805224818165,davidson_harel,2,2,150.0,silhouette
1,0.7344805224818165,drl,2,2,150.0,silhouette
1,0.7344805224818165,fruchterman_reingold,2,2,150.0,silhouette
1,0.7344805224818165,graphopt,2,2,150.0,silhouette
1,0.7344805224818165,lgl,2,4,150.0,silhouette
1,0.7344805224818165,mds,2,2,150.0,silhouette
2,0.7026684565105573,kamada_kawai,2,2,150.0,silhouette
2,0.7026684565105573,spring,2,2,150.0,silhouette
2,0.7026684565105573,davidson_harel,2,2,150.0,silhouette
2,0.7026684565105573,drl,2,2,150.0,silhouette
2,0.7026684565105573,fruchterman_reingold,2,2,150.0,silhouette
2,0.7026684565105573,graphopt,2,2,150.0,silhouette
2,0.7026684565105573,lgl,2,4,150.0,silhouette
2,0.7026684565105573,mds,2,2,150.0,silhouette
3,0.6674315010122477,kamada_kawai,2,2,150.0,silhouette
3,0.6674315010122477,spring,2,2,150.0,silhouette
3,0.6674315010122477,davidson_harel,2,2,150.0,silhouette
3,0.6674315010122477,drl,2,2,150.0,silhouette
3,0.6674315010122477,fruchterman_reingold,2,2,150.0,silhouette
3,0.6674315010122477,graphopt,2,2,150.0,silhouette
3,0.6674315010122477,lgl,2,2,150.0,silhouette
3,0.6674315010122477,mds,2,2,150.0,silhouette
4,0.4806105647864019,kamada_kawai,2,3,150.0,silhouette
4,0.4806105647864019,spring,2,2,150.0,silhouette
4,0.4806105647864019,davidson_harel,2,2,150.0,silhouette
4,0.4806105647864019,drl,2,3,150.0,silhouette
4,0.4806105647864019,fruchterman_reingold,2,2,150.0,silhouette
4,0.4806105647864019,graphopt,2,2,150.0,silhouette
4,0.4806105647864019,lgl,2,3,150.0,silhouette
4,0.4806105647864019,mds,2,2,150.0,silhouette
5,0.7209121290911019,kamada_kawai,3,3,150.0,silhouette
5,0.7209121290911019,spring,3,2,150.0,silhouette
5,0.7209121290911019,davidson_harel,3,2,150.0,silhouette
5,0.7209121290911019,drl,3,3,150.0,silhouette
5,0.7209121290911019,fruchterman_reingold,3,3,150.0,silhouette
5,0.7209121290911019,graphopt,3,3,150.0,silhouette
5,0.7209121290911019,lgl,3,4,150.0,silhouette
5,0.7209121290911019,mds,3,3,150.0,silhouette
6,0.832055129963766,kamada_kawai,3,3,150.0,silhouette
6,0.832055129963766,spring,3,3,150.0,silhouette
6,0.832055129963766,davidson_harel,3,3,150.0,silhouette
6,0.832055129963766,drl,3,3,150.0,silhouette
6,0.832055129963766,fruchterman_reingold,3,3,150.0,silhouette
6,0.832055129963766,graphopt,3,3,150.0,silhouette
6,0.832055129963766,lgl,3,2,150.0,silhouette
6,0.832055129963766,mds,3,3,150.0,silhouette
7,0.6822301160654961,kamada_kawai,3,3,150.0,silhouette
7,0.6822301160654961,spring,3,3,150.0,silhouette
7,0.6822301160654961,davidson_harel,3,2,150.0,silhouette
7,0.6822301160654961,drl,3,3,150.0,silhouette
7,0.6822301160654961,fruchterman_reingold,3,3,150.0,silhouette
7,0.6822301160654961,graphopt,3,3,150.0,silhouette
7,0.6822301160654961,lgl,3,3,150.0,silhouette
7,0.6822301160654961,mds,3,3,150.0,silhouette
8,0.5582714127901203,kamada_kawai,3,3,150.0,silhouette
8,0.5582714127901203,spring,3,3,150.0,silhouette
8,0.5582714127901203,davidson_harel,3,3,150.0,silhouette
8,0.5582714127901203,drl,3,2,150.0,silhouette
8,0.5582714127901203,fruchterman_reingold,3,3,150.0,silhouette
8,0.5582714127901203,graphopt,3,3,150.0,silhouette
8,0.5582714127901203,lgl,3,4,150.0,silhouette
8,0.5582714127901203,mds,3,3,150.0,silhouette
9,0.4607157884372266,kamada_kawai,3,3,150.0,silhouette
9,0.4607157884372266,spring,3,3,150.0,silhouette
9,0.4607157884372266,davidson_harel,3,2,150.0,silhouette
9,0.4607157884372266,drl,3,2,150.0,silhouette
9,0.4607157884372266,fruchterman_reingold,3,3,150.0,silhouette
9,0.4607157884372266,graphopt,3,3,150.0,silhouette
9,0.4607157884372266,lgl,3,4,150.0,silhouette
9,0.4607157884372266,mds,3,3,150.0,silhouette
11,0.6430334735143868,kamada_kawai,4,3,150.0,silhouette
11,0.6430334735143868,spring,4,3,150.0,silhouette
