graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
11,0.5691960016773725,graphopt,3,3,75.0,silhouette
11,0.5691960016773725,lgl,3,3,75.0,silhouette
11,0.5691960016773725,mds,3,3,75.0,silhouette
12,0.8822780782691698,kamada_kawai,4,4,75.0,silhouette
12,0.8822780782691698,spring,4,3,75.0,silhouette
12,0.8822780782691698,davidson_harel,4,2,75.0,silhouette
12,0.8822780782691698,drl,4,2,75.0,silhouette
12,0.8822780782691698,fruchterman_reingold,4,4,75.0,silhouette
12,0.8822780782691698,graphopt,4,3,75.0,silhouette
12,0.8822780782691698,lgl,4,6,75.0,silhouette
12,0.8822780782691698,mds,4,3,75.0,silhouette
13,0.6656362886597939,kamada_kawai,4,3,75.0,silhouette
13,0.6656362886597939,spring,4,3,75.0,silhouette
13,0.6656362886597939,davidson_harel,4,4,75.0,silhouette
13,0.6656362886597939,drl,4,3,75.0,silhouette
13,0.6656362886597939,fruchterman_reingold,4,3,75.0,silhouette
13,0.6656362886597939,graphopt,4,4,75.0,silhouette
13,0.6656362886597939,lgl,4,4,75.0,silhouette
13,0.6656362886597939,mds,4,3,75.0,silhouette
14,0.8786295176301345,kamada_kawai,4,4,75.0,silhouette
14,0.8786295176301345,spring,4,3,75.0,silhouette
14,0.8786295176301345,davidson_harel,4,3,75.0,silhouette
14,0.8786295176301345,drl,4,3,75.0,silhouette
14,0.8786295176301345,fruchterman_reingold,4,4,75.0,silhouette
14,0.8786295176301345,graphopt,4,4,75.0,silhouette
14,0.8786295176301345,lgl,4,3,75.0,silhouette
14,0.8786295176301345,mds,4,3,75.0,silhouette
15,0.824721562899397,kamada_kawai,4,3,75.0,silhouette
15,0.824721562899397,spring,4,5,75.0,silhouette
15,0.824721562899397,davidson_harel,4,4,75.0,silhouette
15,0.824721562899397,drl,4,2,75.0,silhouette
15,0.824721562899397,fruchterman_reingold,4,3,75.0,silhouette
15,0.824721562899397,graphopt,4,2,75.0,silhouette
15,0.824721562899397,lgl,4,3,75.0,silhouette
15,0.824721562899397,mds,4,3,75.0,silhouette
16,0.7587511825922425,kamada_kawai,4,3,75.0,silhouette
16,0.7587511825922425,spring,4,4,75.0,silhouette
16,0.7587511825922425,davidson_harel,4,3,75.0,silhouette
16,0.7587511825922425,drl,4,2,75.0,silhouette
16,0.7587511825922425,fruchterman_reingold,4,4,75.0,silhouette
16,0.7587511825922425,graphopt,4,4,75.0,silhouette
16,0.7587511825922425,lgl,4,6,75.0,silhouette
16,0.7587511825922425,mds,4,3,75.0,silhouette
17,0.8840461663198078,kamada_kawai,4,4,75.0,silhouette
17,0.8840461663198078,spring,4,4,75.0,silhouette
17,0.8840461663198078,davidson_harel,4,3,75.0,silhouette
17,0.8840461663198078,drl,4,2,75.0,silhouette
17,0.8840461663198078,fruchterman_reingold,4,3,75.0,silhouette
17,0.8840461663198078,graphopt,4,4,75.0,silhouette
17,0.8840461663198078,lgl,4,3,75.0,silhouette
17,0.8840461663198078,mds,4,4,75.0,silhouette
18,0.6374834454514565,kamada_kawai,4,3,75.0,silhouette
18,0.6374834454514565,spring,4,4,75.0,silhouette
18,0.6374834454514565,davidson_harel,4,3,75.0,silhouette
18,0.6374834454514565,drl,4,2,75.0,silhouette
18,0.6374834454514565,fruchterman_reingold,4,3,75.0,silhouette
18,0.6374834454514565,graphopt,4,4,75.0,silhouette
18,0.6374834454514565,lgl,4,7,75.0,silhouette
18,0.6374834454514565,mds,4,3,75.0,silhouette
19,0.6152561508924297,kamada_kawai,5,2,75.0,silhouette
19,0.6152561508924297,spring,5,2,75.0,silhouette
19,0.6152561508924297,davidson_harel,5,3,75.0,silhouette
19,0.6152561508924297,drl,5,2,75.0,silhouette
19,0.6152561508924297,fruchterman_reingold,5,3,75.0,silhouette
19,0.6152561508924297,graphopt,5,3,75.0,silhouette
19,0.6152561508924297,lgl,5,2,75.0,silhouette
19,0.6152561508924297,mds,5,3,75.0,silhouette
20,0.8962257029628231,kamada_kawai,5,4,75.0,silhouette
20,0.8962257029628231,spring,5,4,75.0,silhouette
20,0.8962257029628231,davidson_harel,5,3,75.0,silhouette
20,0.8962257029628231,drl,5,3,75.0,silhouette
20,0.8962257029628231,fruchterman_reingold,5,3,75.0,silhouette
20,0.8962257029628231,graphopt,5,4,75.0,silhouette
20,0.8962257029628231,lgl,5,5,75.0,silhouette
20,0.8962257029628231,mds,5,3,75.0,silhouette
21,0.7103836223529741,kamada_kawai,5,2,75.0,silhouette
21,0.7103836223529741,spring,5,2,75.0,silhouette
21,0.7103836223529741,davidson_harel,5,2,75.0,silhouette
21,0.7103836223529741,drl,5,3,75.0,silhouette
21,0.7103836223529741,fruchterman_reingold,5,3,75.0,silhouette
21,0.7103836223529741,graphopt,5,3,75.0,silhouette
21,0.7103836223529741,lgl,5,5,75.0,silhouette
21,0.7103836223529741,mds,5,3,75.0,silhouette
22,0.7245103936902615,kamada_kawai,5,3,75.0,silhouette
