graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.7928556330585498,kamada_kawai,2,4,25.0,elbow
0,0.7928556330585498,spring,2,5,25.0,elbow
0,0.7928556330585498,davidson_harel,2,4,25.0,elbow
0,0.7928556330585498,drl,2,3,25.0,elbow
0,0.7928556330585498,fruchterman_reingold,2,4,25.0,elbow
0,0.7928556330585498,graphopt,2,4,25.0,elbow
0,0.7928556330585498,lgl,2,5,25.0,elbow
0,0.7928556330585498,mds,2,4,25.0,elbow
1,0.7990196078431373,kamada_kawai,2,5,25.0,elbow
1,0.7990196078431373,spring,2,5,25.0,elbow
1,0.7990196078431373,davidson_harel,2,4,25.0,elbow
1,0.7990196078431373,drl,2,5,25.0,elbow
1,0.7990196078431373,fruchterman_reingold,2,4,25.0,elbow
1,0.7990196078431373,graphopt,2,5,25.0,elbow
1,0.7990196078431373,lgl,2,4,25.0,elbow
1,0.7990196078431373,mds,2,4,25.0,elbow
2,0.6681329423264909,kamada_kawai,2,5,25.0,elbow
2,0.6681329423264909,spring,2,5,25.0,elbow
2,0.6681329423264909,davidson_harel,2,5,25.0,elbow
2,0.6681329423264909,drl,2,6,25.0,elbow
2,0.6681329423264909,fruchterman_reingold,2,4,25.0,elbow
2,0.6681329423264909,graphopt,2,5,25.0,elbow
2,0.6681329423264909,lgl,2,4,25.0,elbow
2,0.6681329423264909,mds,2,5,25.0,elbow
3,0.6838696620117385,kamada_kawai,2,5,25.0,elbow
3,0.6838696620117385,spring,2,4,25.0,elbow
3,0.6838696620117385,davidson_harel,2,4,25.0,elbow
3,0.6838696620117385,drl,2,6,25.0,elbow
3,0.6838696620117385,fruchterman_reingold,2,6,25.0,elbow
3,0.6838696620117385,graphopt,2,4,25.0,elbow
3,0.6838696620117385,lgl,2,5,25.0,elbow
3,0.6838696620117385,mds,2,5,25.0,elbow
4,0.5472027972027972,kamada_kawai,2,6,25.0,elbow
4,0.5472027972027972,spring,2,5,25.0,elbow
4,0.5472027972027972,davidson_harel,2,4,25.0,elbow
4,0.5472027972027972,drl,2,4,25.0,elbow
4,0.5472027972027972,fruchterman_reingold,2,6,25.0,elbow
4,0.5472027972027972,graphopt,2,4,25.0,elbow
4,0.5472027972027972,lgl,2,5,25.0,elbow
4,0.5472027972027972,mds,2,4,25.0,elbow
5,0.6586037364798427,kamada_kawai,2,4,25.0,elbow
5,0.6586037364798427,spring,2,6,25.0,elbow
5,0.6586037364798427,davidson_harel,2,6,25.0,elbow
5,0.6586037364798427,drl,2,4,25.0,elbow
5,0.6586037364798427,fruchterman_reingold,2,4,25.0,elbow
5,0.6586037364798427,graphopt,2,5,25.0,elbow
5,0.6586037364798427,lgl,2,5,25.0,elbow
5,0.6586037364798427,mds,2,6,25.0,elbow
6,0.6574832464631424,kamada_kawai,3,5,25.0,elbow
6,0.6574832464631424,spring,3,4,25.0,elbow
6,0.6574832464631424,davidson_harel,3,5,25.0,elbow
6,0.6574832464631424,drl,3,3,25.0,elbow
6,0.6574832464631424,fruchterman_reingold,3,3,25.0,elbow
6,0.6574832464631424,graphopt,3,5,25.0,elbow
6,0.6574832464631424,lgl,3,3,25.0,elbow
6,0.6574832464631424,mds,3,3,25.0,elbow
7,0.6529628579529345,kamada_kawai,3,7,25.0,elbow
7,0.6529628579529345,spring,3,3,25.0,elbow
7,0.6529628579529345,davidson_harel,3,6,25.0,elbow
7,0.6529628579529345,drl,3,4,25.0,elbow
7,0.6529628579529345,fruchterman_reingold,3,5,25.0,elbow
7,0.6529628579529345,graphopt,3,4,25.0,elbow
7,0.6529628579529345,lgl,3,3,25.0,elbow
7,0.6529628579529345,mds,3,6,25.0,elbow
8,0.6414154652686764,kamada_kawai,3,4,25.0,elbow
8,0.6414154652686764,spring,3,5,25.0,elbow
8,0.6414154652686764,davidson_harel,3,4,25.0,elbow
8,0.6414154652686764,drl,3,4,25.0,elbow
8,0.6414154652686764,fruchterman_reingold,3,4,25.0,elbow
8,0.6414154652686764,graphopt,3,4,25.0,elbow
8,0.6414154652686764,lgl,3,3,25.0,elbow
8,0.6414154652686764,mds,3,6,25.0,elbow
9,0.7320169252468268,kamada_kawai,3,5,25.0,elbow
9,0.7320169252468268,spring,3,4,25.0,elbow
9,0.7320169252468268,davidson_harel,3,6,25.0,elbow
9,0.7320169252468268,drl,3,4,25.0,elbow
9,0.7320169252468268,fruchterman_reingold,3,5,25.0,elbow
9,0.7320169252468268,graphopt,3,4,25.0,elbow
9,0.7320169252468268,lgl,3,3,25.0,elbow
9,0.7320169252468268,mds,3,5,25.0,elbow
10,0.4817658349328213,kamada_kawai,3,4,25.0,elbow
10,0.4817658349328213,spring,3,3,25.0,elbow
10,0.4817658349328213,davidson_harel,3,5,25.0,elbow
10,0.4817658349328213,drl,3,4,25.0,elbow
10,0.4817658349328213,fruchterman_reingold,3,5,25.0,elbow
10,0.4817658349328213,graphopt,3,3,25.0,elbow
10,0.4817658349328213,lgl,3,4,25.0,elbow
10,0.4817658349328213,mds,3,5,25.0,elbow
11,0.5422982885085573,kamada_kawai,3,4,25.0,elbow
11,0.5422982885085573,spring,3,4,25.0,elbow
11,0.5422982885085573,davidson_harel,3,3,25.0,elbow
11,0.5422982885085573,drl,3,7,25.0,elbow
11,0.5422982885085573,fruchterman_reingold,3,7,25.0,elbow
11,0.5422982885085573,graphopt,3,6,25.0,elbow
11,0.5422982885085573,lgl,3,3,25.0,elbow
11,0.5422982885085573,mds,3,4,25.0,elbow
12,0.8599397590361443,kamada_kawai,4,4,25.0,elbow
12,0.8599397590361443,spring,4,5,25.0,elbow
12,0.8599397590361443,davidson_harel,4,5,25.0,elbow
12,0.8599397590361443,drl,4,3,25.0,elbow
12,0.8599397590361443,fruchterman_reingold,4,4,25.0,elbow
12,0.8599397590361443,graphopt,4,6,25.0,elbow
12,0.8599397590361443,lgl,4,4,25.0,elbow
12,0.8599397590361443,mds,4,4,25.0,elbow
13,0.4470263883418671,kamada_kawai,4,4,25.0,elbow
13,0.4470263883418671,spring,4,4,25.0,elbow
13,0.4470263883418671,davidson_harel,4,4,25.0,elbow
13,0.4470263883418671,drl,4,4,25.0,elbow
13,0.4470263883418671,fruchterman_reingold,4,6,25.0,elbow
13,0.4470263883418671,graphopt,4,6,25.0,elbow
13,0.4470263883418671,lgl,4,3,25.0,elbow
13,0.4470263883418671,mds,4,4,25.0,elbow
14,0.8307692307692308,kamada_kawai,4,4,25.0,elbow
14,0.8307692307692308,spring,4,6,25.0,elbow
14,0.8307692307692308,davidson_harel,4,5,25.0,elbow
14,0.8307692307692308,drl,4,4,25.0,elbow
14,0.8307692307692308,fruchterman_reingold,4,4,25.0,elbow
14,0.8307692307692308,graphopt,4,5,25.0,elbow
14,0.8307692307692308,lgl,4,4,25.0,elbow
14,0.8307692307692308,mds,4,4,25.0,elbow
15,0.7497103128621091,kamada_kawai,4,4,25.0,elbow
15,0.7497103128621091,spring,4,7,25.0,elbow
15,0.7497103128621091,davidson_harel,4,5,25.0,elbow
15,0.7497103128621091,drl,4,4,25.0,elbow
15,0.7497103128621091,fruchterman_reingold,4,4,25.0,elbow
15,0.7497103128621091,graphopt,4,3,25.0,elbow
15,0.7497103128621091,lgl,4,4,25.0,elbow
15,0.7497103128621091,mds,4,4,25.0,elbow
16,0.733990147783252,kamada_kawai,4,5,25.0,elbow
16,0.733990147783252,spring,4,6,25.0,elbow
16,0.733990147783252,davidson_harel,4,4,25.0,elbow
16,0.733990147783252,drl,4,4,25.0,elbow
16,0.733990147783252,fruchterman_reingold,4,4,25.0,elbow
16,0.733990147783252,graphopt,4,5,25.0,elbow
16,0.733990147783252,lgl,4,5,25.0,elbow
16,0.733990147783252,mds,4,4,25.0,elbow
17,0.7588357588357589,kamada_kawai,4,5,25.0,elbow
17,0.7588357588357589,spring,4,4,25.0,elbow
17,0.7588357588357589,davidson_harel,4,4,25.0,elbow
17,0.7588357588357589,drl,4,4,25.0,elbow
17,0.7588357588357589,fruchterman_reingold,4,4,25.0,elbow
17,0.7588357588357589,graphopt,4,7,25.0,elbow
17,0.7588357588357589,lgl,4,3,25.0,elbow
17,0.7588357588357589,mds,4,5,25.0,elbow
18,0.4412989175686924,kamada_kawai,4,4,25.0,elbow
18,0.4412989175686924,spring,4,4,25.0,elbow
18,0.4412989175686924,davidson_harel,4,4,25.0,elbow
18,0.4412989175686924,drl,4,4,25.0,elbow
18,0.4412989175686924,fruchterman_reingold,4,4,25.0,elbow
18,0.4412989175686924,graphopt,4,4,25.0,elbow
18,0.4412989175686924,lgl,4,5,25.0,elbow
18,0.4412989175686924,mds,4,3,25.0,elbow
19,0.4010270001656452,kamada_kawai,5,3,25.0,elbow
19,0.4010270001656452,spring,5,4,25.0,elbow
19,0.4010270001656452,davidson_harel,5,3,25.0,elbow
19,0.4010270001656452,drl,5,4,25.0,elbow
19,0.4010270001656452,fruchterman_reingold,5,3,25.0,elbow
19,0.4010270001656452,graphopt,5,6,25.0,elbow
19,0.4010270001656452,lgl,5,4,25.0,elbow
19,0.4010270001656452,mds,5,4,25.0,elbow
20,0.830508474576271,kamada_kawai,5,3,25.0,elbow
20,0.830508474576271,spring,5,4,25.0,elbow
20,0.830508474576271,davidson_harel,5,5,25.0,elbow
20,0.830508474576271,drl,5,6,25.0,elbow
20,0.830508474576271,fruchterman_reingold,5,4,25.0,elbow
20,0.830508474576271,graphopt,5,6,25.0,elbow
20,0.830508474576271,lgl,5,4,25.0,elbow
20,0.830508474576271,mds,5,4,25.0,elbow
21,0.6391668920746552,kamada_kawai,5,4,25.0,elbow
21,0.6391668920746552,spring,5,4,25.0,elbow
21,0.6391668920746552,davidson_harel,5,4,25.0,elbow
21,0.6391668920746552,drl,5,4,25.0,elbow
21,0.6391668920746552,fruchterman_reingold,5,4,25.0,elbow
21,0.6391668920746552,graphopt,5,5,25.0,elbow
21,0.6391668920746552,lgl,5,4,25.0,elbow
21,0.6391668920746552,mds,5,6,25.0,elbow
22,0.5123367198838904,kamada_kawai,5,5,25.0,elbow
22,0.5123367198838904,spring,5,4,25.0,elbow
22,0.5123367198838904,davidson_harel,5,4,25.0,elbow
22,0.5123367198838904,drl,5,5,25.0,elbow
22,0.5123367198838904,fruchterman_reingold,5,5,25.0,elbow
22,0.5123367198838904,graphopt,5,5,25.0,elbow
22,0.5123367198838904,lgl,5,5,25.0,elbow
22,0.5123367198838904,mds,5,4,25.0,elbow
23,0.2944915254237284,kamada_kawai,5,4,25.0,elbow
23,0.2944915254237284,spring,5,3,25.0,elbow
23,0.2944915254237284,davidson_harel,5,4,25.0,elbow
23,0.2944915254237284,drl,5,4,25.0,elbow
23,0.2944915254237284,fruchterman_reingold,5,4,25.0,elbow
23,0.2944915254237284,graphopt,5,5,25.0,elbow
23,0.2944915254237284,lgl,5,3,25.0,elbow
23,0.2944915254237284,mds,5,4,25.0,elbow
24,0.5450236966824644,kamada_kawai,5,4,25.0,elbow
24,0.5450236966824644,spring,5,5,25.0,elbow
24,0.5450236966824644,davidson_harel,5,4,25.0,elbow
24,0.5450236966824644,drl,5,4,25.0,elbow
24,0.5450236966824644,fruchterman_reingold,5,4,25.0,elbow
24,0.5450236966824644,graphopt,5,5,25.0,elbow
24,0.5450236966824644,lgl,5,4,25.0,elbow
24,0.5450236966824644,mds,5,4,25.0,elbow
25,0.604378420641126,kamada_kawai,6,4,25.0,elbow
25,0.604378420641126,spring,6,3,25.0,elbow
25,0.604378420641126,davidson_harel,6,5,25.0,elbow
25,0.604378420641126,drl,6,3,25.0,elbow
25,0.604378420641126,fruchterman_reingold,6,4,25.0,elbow
25,0.604378420641126,graphopt,6,6,25.0,elbow
25,0.604378420641126,lgl,6,5,25.0,elbow
