graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
12,0.8896141791235976,fruchterman_reingold,4,5,100.0,gap_statistic
12,0.8896141791235976,graphopt,4,4,100.0,gap_statistic
12,0.8896141791235976,lgl,4,9,100.0,gap_statistic
12,0.8896141791235976,mds,4,3,100.0,gap_statistic
13,0.6998608571531317,kamada_kawai,4,1,100.0,gap_statistic
13,0.6998608571531317,spring,4,5,100.0,gap_statistic
13,0.6998608571531317,davidson_harel,4,3,100.0,gap_statistic
13,0.6998608571531317,drl,4,4,100.0,gap_statistic
13,0.6998608571531317,fruchterman_reingold,4,3,100.0,gap_statistic
13,0.6998608571531317,graphopt,4,3,100.0,gap_statistic
13,0.6998608571531317,lgl,4,9,100.0,gap_statistic
13,0.6998608571531317,mds,4,3,100.0,gap_statistic
14,0.8913756962858271,kamada_kawai,4,4,100.0,gap_statistic
14,0.8913756962858271,spring,4,4,100.0,gap_statistic
14,0.8913756962858271,davidson_harel,4,9,100.0,gap_statistic
14,0.8913756962858271,drl,4,6,100.0,gap_statistic
14,0.8913756962858271,fruchterman_reingold,4,4,100.0,gap_statistic
14,0.8913756962858271,graphopt,4,4,100.0,gap_statistic
14,0.8913756962858271,lgl,4,9,100.0,gap_statistic
14,0.8913756962858271,mds,4,3,100.0,gap_statistic
15,0.782071607171357,kamada_kawai,4,4,100.0,gap_statistic
15,0.782071607171357,spring,4,4,100.0,gap_statistic
15,0.782071607171357,davidson_harel,4,5,100.0,gap_statistic
15,0.782071607171357,drl,4,2,100.0,gap_statistic
15,0.782071607171357,fruchterman_reingold,4,7,100.0,gap_statistic
15,0.782071607171357,graphopt,4,3,100.0,gap_statistic
15,0.782071607171357,lgl,4,9,100.0,gap_statistic
15,0.782071607171357,mds,4,3,100.0,gap_statistic
16,0.6919276828240047,kamada_kawai,4,3,100.0,gap_statistic
16,0.6919276828240047,spring,4,3,100.0,gap_statistic
16,0.6919276828240047,davidson_harel,4,3,100.0,gap_statistic
16,0.6919276828240047,drl,4,2,100.0,gap_statistic
16,0.6919276828240047,fruchterman_reingold,4,2,100.0,gap_statistic
16,0.6919276828240047,graphopt,4,3,100.0,gap_statistic
16,0.6919276828240047,lgl,4,9,100.0,gap_statistic
16,0.6919276828240047,mds,4,3,100.0,gap_statistic
17,0.7544170912240225,kamada_kawai,4,3,100.0,gap_statistic
17,0.7544170912240225,spring,4,5,100.0,gap_statistic
17,0.7544170912240225,davidson_harel,4,2,100.0,gap_statistic
17,0.7544170912240225,drl,4,4,100.0,gap_statistic
17,0.7544170912240225,fruchterman_reingold,4,4,100.0,gap_statistic
